20,AAPL,MSFT,INTC,FB,V,CSCO,ORCL,IBM,MA,QCOM
21,XOM,CVX,SLB,EOG,OXY,COP,KMI,VLO,PXD,PSX
22,GE,MMM,BA,HON,UTX,UNP,UPS,DHR,LMT,GD
23,PG,KO,PM,CVS,MO,WMT,PEP,WBA,COST,MDLZ
24,BRK.A,WFC,JPM,BAC,C,AIG,GS,USB,SPG-J,AXP
25,PSA,EQR,AVB,HCN,PLD,BXP,VTR,VNO,HCP,CCL
26,AMZN,DIS,HD,CMCSA,MCD,SBUX,NKE,PCLN,LOW,TWX
27,VZ,T,LVLT,CTL,SBAC,TMUS,SHEN,FTR,S,TDS
28,DUK,NEE,D,SO,AEP,PCG,EXC,SRE,PPL,PEG
29,DOW,DD,MON,LYB,PX,ECL,PPG,APD,SHW,IP
30,JNJ,PFE,GILD,MRK,ACT,AMGN,UNH,BMY,MDT,ABBV
31,CONST
32,10INC
33,20INC
34,10DEC
35,20DEC
