BBN,0,1346
SDS,1,407
BCP,2,750
SED,3,683
CEBK,4,2232
STSA,5,2573
T,6,478
CECE,7,3021
EDCID,8,20
SGI,9,466
SIG,10,2801
APAT,11,1006
MSFT,12,3021
APCC,13,786
MSEL,14,233
SKS,15,2479
STXN,16,773
SMT,17,1377
CELG,18,3021
BMC,19,2440
NVLS,20,2122
SOV,21,1279
BNK,22,293
BNT,23,1147
MBLA,24,803
BRL,25,1254
CERN,26,3021
BRY,27,2508
NERX,28,619
ALAND,29,40
SUR,30,1875
BVC,31,585
APPA,32,1806
BSTW,33,245
BWC,34,1237
BWS,35,2870
NEWN,36,671
PLAB,37,3021
LENSE,38,119
LENSD,39,20
HOSTE,40,6
SUNW,41,918
CAL,42,151
JJSF,43,3021
TCB,44,3021
CAU,45,1060
CBM,46,3021
CBP,47,649
CCC,48,3021
CDN,49,461
CDR,50,3021
TGX,51,2475
ELMD,52,1356
BTFG,53,2298
GASL,54,1160
GASX,55,840
CIS,56,929
ELMS,57,332
TKS,58,1662
DINE,59,626
TMP,60,3024
CLH,61,1774
OINK,62,1013
CFNB,63,3021
COB,64,29
COR,65,1328
CPF,66,3021
ELUX,67,314
CRK,68,3021
DISK,69,1533
ELXS,70,216
PLXS,71,3021
BCPC,72,2271
CTR,73,1458
MTSI,74,366
DJCO,75,3021
UCI,76,569
DCN,77,546
RBNC,78,756
THTI,79,1382
HVTA,80,3021
MDCI,81,2706
DGC,82,451
AD,83,797
SERV,84,1292
AT,85,1372
UIS,86,3021
EMLC,87,1371
BC,88,3021
LABL,89,3021
CF,90,168
CY,91,3021
AABC,92,507
DD,93,3021
DY,94,3021
ED,95,3021
EK,96,2026
AADR,97,1373
FO,98,1953
UNI,99,125
DMC,100,1817
GD,101,3021
GE,102,3021
GM,103,1362
GR,104,2159
FPWR,105,322
STSAD,106,19
IL,107,1361
MDMD,108,243
PPHMD,109,20
KH,110,562
AAII,111,319
KO,112,3021
NXPI,113,1361
LH,114,3021
DRJ,115,1299
DRL,116,2808
DSS,117,1128
LAKE,118,3021
DTE,119,3021
AANA,120,417
WATFZ,121,433
TIGR,122,1883
BUTL,123,382
NXXI,124,1461
WRPC,125,55
RP,126,1357
LARL,127,670
APPAD,128,19
KOOL,129,3002
TW,130,942
WASH,131,3021
WM,132,1614
CYBE,133,3021
WPPGY,134,3021
EAR,135,1856
CYAN,136,3001
ECT,137,1386
AMFIA,138,1
CHCO,139,3021
BEAM,140,647
ASAA,141,220
SWTX,142,228
ASBI,143,3021
MEAS,144,2286
IIVI,145,3021
PDEXD,146,20
CHFC,147,3021
MEDS,148,35
ASCL,149,335
ABAC,150,361
LSBG,151,150
ABBK,152,82
WSBC,153,3021
LSBX,154,1742
ELD,155,1360
WSFS,156,3021
ELT,157,483
NHLD,158,212
CHKM,159,501
EMC,160,3021
FCNCA,161,3021
ENV,162,1367
ENTX,163,284
EPG,164,1342
ASMI,165,2929
CYTR,166,2997
CYTO,167,1096
ETN,168,3021
NHTB,169,2871
SXCL,170,125
ENZL,171,1342
MESA,172,1520
ABRI,173,638
EYE,174,355
XETA,175,1867
FRBK,176,3021
ASTE,177,3021
HGIC,178,2099
AVAND,179,19
WBS,180,3021
FBP,181,3021
FCM,182,1
WES,183,544
FEP,184,1548
DLHC,185,884
GDOT,186,1372
WTBK,187,41
FIC,188,1416
FRPH,189,270
BFEN,190,419
FRSH,191,543
WLM,192,991
WMI,193,1407
RDTA,194,1081
ATGI,195,286
ACET,196,3021
ACEL,197,1090
FNB,198,3021
FAST,199,3021
WPZ,200,231
FPB,201,962
WSB,202,2356
FRC,203,938
WSR,204,1347
MFLR,205,2488
FSD,206,1325
WTS,207,3021
FTG,208,503
CITI,209,239
UNIB,210,1266
ACMP,211,635
IKGH,212,567
ATRI,213,3021
FSBI,214,2248
FBCP,215,104
TKLC,216,2034
BWXT,217,128
REFR,218,3021
